page	sort	Uppercase	Title Case	Title for Indexing	Disambiguation Key	Uppercase + Key	Title + Key	Indexing + Key	Short Attribution	Italicize short attribution?	Living composer / arranger?	Arr. status
165	165	FAMILY BIBLE	Family Bible	Family Bible		FAMILY BIBLE	Family Bible	Family Bible	Caldwell		-	Arr.
166	166	STILL BETTER	Still Better	Still Better		STILL BETTER	Still Better	Still Better	Mayfield & Meggs		-	
167	167	PRAY, BRETHREN, PRAY	Pray, Brethren, Pray	Pray, Brethren, Pray		PRAY, BRETHREN, PRAY	Pray, Brethren, Pray	Pray, Brethren, Pray	Minstrel of Zion	yes	-	
168	168	COWPER	Cowper	Cowper		COWPER	Cowper	Cowper	Holden		-	
169	169	GOD’S HELPING HAND	God’s Helping Hand	God’s Helping Hand		GOD’S HELPING HAND	God’s Helping Hand	God’s Helping Hand	Parris		-	
170	170	EXHILARATION	Exhilaration	Exhilaration		EXHILARATION	Exhilaration	Exhilaration	Carter		-	
171	171	EXHORTATION	Exhortation	Exhortation	Hibbard	EXHORTATION (Hibbard)	Exhortation (Hibbard)	Exhortation (Hibbard)	Hibbard		-	
172	172	HARMONY	Harmony	Harmony		HARMONY	Harmony	Harmony	Ellis		-	
173	173	PHOEBUS	Phoebus	Phoebus		PHOEBUS	Phoebus	Phoebus	Billings		-	
174	174	PETERSBURG	Petersburg	Petersburg		PETERSBURG	Petersburg	Petersburg	Billings		-	
175	175	HIGHLANDS OF HEAVEN	Highlands of Heaven	Highlands of Heaven		HIGHLANDS OF HEAVEN	Highlands of Heaven	Highlands of Heaven	Arnold		-	Arr.
176t	176.1	RAGAN	Ragan	Ragan		RAGAN	Ragan	Ragan	Moore		-	Arr.
176b	176.2	BLOOMING YOUTH	Blooming Youth	Blooming Youth		BLOOMING YOUTH	Blooming Youth	Blooming Youth	Mann		-	
177	177	THE CHRISTIAN’S FLIGHT	The Christian’s Flight	Christian’s Flight, The		THE CHRISTIAN’S FLIGHT	The Christian’s Flight	Christian’s Flight, The	Moore		-	
178t	178.1	AFRICA	Africa	Africa		AFRICA	Africa	Africa	Billings		-	
178b	178.2	GAINES	Gaines	Gaines		GAINES	Gaines	Gaines	Hauser		-	
179	179	THE CHRISTIAN WARFARE	The Christian Warfare	Christian Warfare, The		THE CHRISTIAN WARFARE	The Christian Warfare	Christian Warfare, The	Southern Harmony	yes	-	
180	180	VERMONT	Vermont	Vermont		VERMONT	Vermont	Vermont	Billings		-	
181	181	EXIT	Exit	Exit		EXIT	Exit	Exit	Sherman		-	
182	182	NEWBURGH	Newburgh	Newburgh		NEWBURGH	Newburgh	Newburgh	Munson		-	
183	183	GREENWICH	Greenwich	Greenwich		GREENWICH	Greenwich	Greenwich	Read		-	
184	184	AND JESUS CRUCIFIED	And Jesus Crucified	And Jesus Crucified		AND JESUS CRUCIFIED	And Jesus Crucified	And Jesus Crucified	Wright		Living	
185	185	PILGRIM’S FAREWELL	Pilgrim’s Farewell	Pilgrim’s Farewell		PILGRIM’S FAREWELL	Pilgrim’s Farewell	Pilgrim’s Farewell	Psalmodist’s Companion	yes	-	
186	186	SHERBURNE	Sherburne	Sherburne		SHERBURNE	Sherburne	Sherburne	Read		-	
187	187	PROTECTION	Protection	Protection	Sherman	PROTECTION (Sherman)	Protection (Sherman)	Protection (Sherman)	Sherman		-	
188	188	EPHESUS	Ephesus	Ephesus		EPHESUS	Ephesus	Ephesus	Karlsberg		Living	
189	189	MONTGOMERY	Montgomery	Montgomery		MONTGOMERY	Montgomery	Montgomery	Morgan		-	
191	191	VIRGINIA	Virginia	Virginia		VIRGINIA	Virginia	Virginia	Brownson		-	
192	192	SCHENECTADY	Schenectady	Schenectady		SCHENECTADY	Schenectady	Schenectady	Shumway		-	
193	193	HUNTINGTON	Huntington	Huntington		HUNTINGTON	Huntington	Huntington	Morgan		-	
195	195	WORCESTER	Worcester	Worcester		WORCESTER	Worcester	Worcester	Wood		-	
196	196	ALABAMA	Alabama	Alabama		ALABAMA	Alabama	Alabama	Southern Harmony	yes	-	Arr.
197	197	GEORGIA	Georgia	Georgia		GEORGIA	Georgia	Georgia	McGraw		-	
198	198	GREEN STREET	Green Street	Green Street		GREEN STREET	Green Street	Green Street	Coles		-	
200	200	EDOM	Edom	Edom		EDOM	Edom	Edom	West		-	
201	201	PILGRIM	Pilgrim	Pilgrim		PILGRIM	Pilgrim	Pilgrim	Missouri Harmony	yes	-	Arr.
202	202	NEW LEBANON	New Lebanon	New Lebanon		NEW LEBANON	New Lebanon	New Lebanon	Sherman		-	
203	203	FLORIDA	Florida	Florida		FLORIDA	Florida	Florida	Wetmore		-	
204	204	MISSION	Mission	Mission		MISSION	Mission	Mission	Gramling		-	Arr.
205	205	PLEASANT HILL	Pleasant Hill	Pleasant Hill		PLEASANT HILL	Pleasant Hill	Pleasant Hill	Nicholson		-	
